folds,avg_sharpe,avg_return_%,avg_max_dd_%,trades_sum,ticker,label
14,-0.8232025382648496,-10.328683051660736,-18.46214101474883,0,3382.T,OOS_nonAI
14,0.15445595531566506,0.0,-17.72081459679241,0,MU,OOS_nonAI
14,0.057865053135105655,0.1996927486317363,-7.790827439073106,0,SPY,OOS_nonAI
14,0.15614864699268666,3.1557959061393994,-13.69152911056441,0,4523.T,OOS_nonAI
14,-0.120911508951102,0.0,-16.985009038895388,0,INTC,OOS_nonAI
14,-0.784430699800723,-3.8107927368168966,-8.997190831521523,0,8411.T,OOS_nonAI
14,-0.44703411786952907,-3.278359223229607,-11.648133523681526,0,DIA,OOS_nonAI
14,0.41357217125143214,3.585056114903142,-9.151109047532735,0,7203.T,OOS_nonAI
0,,,,0,3382.T,HOLDOUT_nonAI
0,,,,0,MU,HOLDOUT_nonAI
0,,,,0,SPY,HOLDOUT_nonAI
0,,,,0,4523.T,HOLDOUT_nonAI
0,,,,0,INTC,HOLDOUT_nonAI
0,,,,0,8411.T,HOLDOUT_nonAI
0,,,,0,DIA,HOLDOUT_nonAI
0,,,,0,7203.T,HOLDOUT_nonAI
